City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,linxi,39.7,118.4333,27.9,70,0,1.93,CN,1690159643
256,badger,64.8,-147.5333,30.55,40,0,1.54,US,1690159644
257,tofol,5.3248,163.0078,26.88,89,100,1.54,FM,1690159644
258,hammerfest,70.6634,23.6821,9.25,76,20,4.12,NO,1690159644
259,chonchi,-42.6128,-73.8092,3.95,91,100,1.09,CL,1690159644
260,kingston,17.997,-76.7936,30.53,71,20,9.77,JM,1690159645
261,tongouson,5.0214,120.1328,28.83,76,91,6.77,PH,1690159645
262,veseloyarsk,51.2836,81.1056,23.02,32,7,2.67,RU,1690159645
263,karukh,34.4811,62.5863,21.67,23,31,5.43,AF,1690159645
264,sungai penuh,-2.0833,101.3833,18.03,91,100,0.37,ID,1690159645
265,diego de almagro,-26.3667,-70.05,14.27,61,21,0.95,CL,1690159645
266,esmeraldas,-19.7625,-44.3139,19.58,83,1,3.84,BR,1690159645
267,saint-joseph,-21.3667,55.6167,19.71,81,30,4.91,RE,1690159646
268,taoudenni,22.6783,-3.9836,39.07,17,90,2.42,ML,1690159646
269,forster,-32.1667,152.5167,16.27,77,13,3.44,AU,1690159646
270,topolobampo,25.6,-109.05,32.95,55,20,8.75,MX,1690159520
271,quellon,-43.1167,-73.6167,5.08,79,100,1.99,CL,1690159632
272,swift current,50.2834,-107.8014,31.45,37,0,9.77,CA,1690159476
273,vikhorevka,56.1201,101.1636,17.77,89,99,2.42,RU,1690159647
274,suva,-18.1416,178.4415,25.71,69,75,0.0,FJ,1690159647
275,tura,25.5198,90.2201,25.66,91,88,1.74,IN,1690159647
276,karratha,-20.7377,116.8463,18.19,34,0,11.33,AU,1690159647
277,paka,4.6374,103.4368,26.96,89,20,1.54,MY,1690159648
278,ust-tsilma,65.441,52.1498,13.02,93,15,1.57,RU,1690159648
279,klaksvik,62.2266,-6.589,7.51,80,100,6.72,FO,1690159648
280,kinston,35.2627,-77.5816,28.08,69,40,3.6,US,1690159648
281,arno,60.1167,18.6333,13.85,75,100,3.42,SE,1690159648
282,san patricio,28.017,-97.5169,34.05,63,100,8.64,US,1690159483
283,murzuq,25.9155,13.9184,30.8,12,100,6.27,LY,1690159648
284,urumqi,43.801,87.6005,27.53,30,0,5.0,CN,1690159649
285,fort bragg,35.139,-79.006,25.82,95,100,2.06,US,1690159649
286,berdigestyakh,62.0989,126.6992,28.16,44,1,1.65,RU,1690159649
287,masina,-4.3836,15.3914,23.76,67,10,1.75,CD,1690159649
288,tarko-sale,64.9225,77.785,21.37,59,87,2.54,RU,1690159649
289,orchard homes,46.8633,-114.0484,38.08,17,0,1.54,US,1690159650
290,veinticinco de mayo,-35.4323,-60.1727,7.21,59,100,0.45,AR,1690159650
291,dankama,13.2978,7.7949,22.63,68,100,1.84,NG,1690159650
292,merizo village,13.2658,144.6691,29.65,87,100,6.7,GU,1690159650
293,desaguadero,-16.5656,-69.0417,6.99,48,9,1.48,PE,1690159650
294,berezovyy,51.6667,135.7,25.7,53,100,2.19,RU,1690159651
295,amahai,-3.3333,128.9167,26.11,80,51,6.64,ID,1690159651
296,chivilcoy,-34.8957,-60.0167,7.32,59,100,5.83,AR,1690159651
297,colonia,50.9333,6.95,19.42,85,0,2.06,DE,1690159651
298,kolonia town,6.964,158.206,30.0,79,100,2.06,FM,1690159651
299,santiago de cao,-7.9589,-79.2392,22.07,83,7,4.63,PE,1690159652
300,norderney,53.7,7.15,17.01,88,11,9.06,DE,1690159652
301,lakshmipur,22.95,90.8333,28.62,79,100,2.04,BD,1690159652
302,tynda,55.1667,124.7167,22.33,57,100,1.61,RU,1690159652
303,ironwood,46.4547,-90.171,22.45,56,0,3.09,US,1690159652
304,qamdo,31.1667,97.2333,6.6,89,100,0.4,CN,1690159479
305,narathiwat,6.3333,101.75,24.92,86,100,1.73,TH,1690159653
306,naze,28.3667,129.4833,28.51,81,36,4.12,JP,1690159653
307,baukau,51.5526,7.2042,18.52,87,98,2.24,DE,1690159653
308,stettler,52.3168,-112.7186,26.86,54,8,2.06,CA,1690159653
309,ta'izz,13.5,44.0,25.75,50,100,1.71,YE,1690159653
310,el aioun,34.5832,-2.5061,27.05,48,5,1.18,MA,1690159654
311,nyaungdon,17.0333,95.65,27.39,79,5,1.76,MM,1690159654
312,happy valley-goose bay,53.3168,-60.3315,20.17,88,75,4.63,CA,1690159654
313,tizapan el alto,20.1667,-103.0667,23.03,75,72,2.1,MX,1690159480
314,mana,5.6592,-53.7767,25.94,84,11,3.41,GF,1690159654
315,napanee,44.2501,-76.9494,23.02,78,90,3.07,CA,1690159426
316,tselinnoye,53.0833,85.6667,16.92,92,100,2.13,RU,1690159655
317,laizhou,37.1717,119.9214,29.68,65,0,0.81,CN,1690159655
318,chanika,-5.4167,38.0167,16.08,98,57,0.86,TZ,1690159655
319,katsuren-haebaru,26.3369,127.8719,31.21,66,40,3.09,JP,1690159655
320,bay harbor,30.1471,-85.6146,27.04,88,75,8.23,US,1690159655
321,kruisfontein,-34.0033,24.7314,9.94,78,98,6.44,ZA,1690159655
322,kremenki,54.885,37.1261,13.17,96,51,2.43,RU,1690159655
323,olinda,-8.0089,-34.8553,23.85,88,40,2.06,BR,1690159513
324,laibin,23.7,109.2667,29.02,74,91,2.59,CN,1690159656
325,kavalerovo,44.2661,135.0572,25.06,87,100,0.95,RU,1690159656
326,budennovsk,44.7839,44.1658,23.93,70,81,2.43,RU,1690159656
327,charters towers,-20.1,146.2667,16.21,33,14,9.09,AU,1690159656
328,kailua-kona,19.6406,-155.9956,28.11,88,17,1.34,US,1690159656
329,nouadhibou,20.931,-17.0347,22.99,78,16,7.2,MR,1690159656
330,nar'yan-mar,67.6713,53.087,14.93,90,100,2.34,RU,1690159657
331,nova aurora,-22.8667,-52.5667,20.12,61,2,3.14,BR,1690159657
332,alice springs,-23.7,133.8833,10.75,58,100,6.17,AU,1690159446
333,puerto maldonado,-12.6,-69.1833,24.29,63,8,0.54,PE,1690159599
334,prakhon chai,14.6059,103.1208,25.51,87,100,1.47,TH,1690159657
335,chiredzi,-21.05,31.6667,15.32,62,3,1.45,ZW,1690159657
336,utrik,11.2278,169.8474,28.61,78,97,8.4,MH,1690159658
337,adoru,6.9766,7.1627,22.97,99,100,2.24,NG,1690159658
338,novyy urengoy,66.0833,76.6333,21.49,62,30,1.67,RU,1690159658
339,kodinsk,58.6881,99.1844,23.62,59,58,0.89,RU,1690159658
340,qaqortoq,60.7167,-46.0333,8.08,90,28,2.04,GL,1690159658
341,launceston,-41.45,147.1667,12.67,94,100,6.17,AU,1690159522
342,jolo,6.05,121.0167,28.15,77,98,3.24,PH,1690159658
